Rank,Title,Rating,Image_URL,Episodes,Dates,URL
41,Vinland Saga,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b,TV (24 eps),Jul 2019 - Dec 2019,https://myanimelist.net/anime/37521/Vinland_Saga
42,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1142/112957.jpg?s=f0984cb6fcb8188ce26035b0b56de828,Movie (1 eps),Aug 2020 - Aug 2020,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
43,Jujutsu Kaisen (TV),8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79,TV (24 eps),Oct 2020 - Mar 2021,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
44,Mo Dao Zu Shi: Wanjie Pian,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1634/116782.jpg?s=f3e813705fd0d84678835c9f3d36f3dd,ONA (12 eps),Aug 2021 - Oct 2021,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
45,Mushishi Zoku Shou,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/13/58533.jpg?s=ff40f900ea0877725ccde517b126c531,TV (10 eps),Apr 2014 - Jun 2014,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1899/94562.jpg?s=22f366cd920bfe56e26e000170631e7f,OVA (4 eps),Feb 1999 - Sep 1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
47,Ashita no Joe 2,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2,TV (47 eps),Oct 1980 - Aug 1981,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
48,Code Geass: Hangyaku no Lelouch,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/5/50331.jpg?s=afd09d7e5d76283418a1a22e7c122ca9,TV (25 eps),Oct 2006 - Jul 2007,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
49,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1704/106947.jpg?s=685b7fa652f5b3df29bd20fc2c8cb32e,Movie (1 eps),Oct 2020 - Oct 2020,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
50,Great Teacher Onizuka,8.69,https://cdn.myanimelist.net/r/50x70/images/anime/13/11460.jpg?s=7e890b7e93b7b57c2de4aa90211931bd,TV (43 eps),Jun 1999 - Sep 2000,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
51,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.69,https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66,Movie (1 eps),Jan 2020 - Jan 2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
52,Made in Abyss,8.68,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3,TV (13 eps),Jul 2017 - Sep 2017,https://myanimelist.net/anime/34599/Made_in_Abyss
53,Mononoke Hime,8.68,https://cdn.myanimelist.net/r/50x70/images/anime/7/75919.jpg?s=0d877ed9aa60cc49fdb128a2f68386e2,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/164/Mononoke_Hime
54,Mushishi,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d,TV (26 eps),Oct 2005 - Jun 2006,https://myanimelist.net/anime/457/Mushishi
55,Shigatsu wa Kimi no Uso,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/3/67177.jpg?s=bc267f764bffe825e1e8d60f7185a2e9,TV (22 eps),Oct 2014 - Mar 2015,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
56,Violet Evergarden,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1795/95088.jpg?s=9e24a139603a4e0ea8ea055a230b54d5,TV (13 eps),Jan 2018 - Apr 2018,https://myanimelist.net/anime/33352/Violet_Evergarden
